,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise,neutral
4,0.30405405405405406,0.4344086021505376,0.3495702005730659,0.12380952380952381,0.17829457364341086,0.32116788321167883,0.23443223443223443,0.2868217054263566,0.25925925925925924,0.22885572139303484,0.26804123711340205,0.37254901960784315,0.4,0.28169014084507044,0.41904761904761906,0.5423728813559322,0.27586206896551724,0.29012345679012347,0.32857142857142857,0.375,0.36363636363636365,0.45454545454545453,0.0759493670886076,0.08695652173913043,0.18604651162790697,0.34615384615384615,0.2912621359223301,0.24083769633507854
8,0.3277591973244147,0.42247191011235957,0.3712574850299401,0.11428571428571428,0.17120622568093385,0.3120567375886525,0.24742268041237114,0.27586206896551724,0.48484848484848486,0.20304568527918782,0.2541436464088398,0.37383177570093457,0.32,0.24324324324324326,0.43137254901960786,0.4956521739130435,0.34782608695652173,0.2912621359223301,0.2898550724637681,0.375,0.375,0.45454545454545453,0.075,0.08333333333333333,0.05,0.3841059602649007,0.3047619047619048,0.2613981762917933
12,0.375,0.45248868778280543,0.40397350993377484,0.1568627450980392,0.18726591760299627,0.32432432432432434,0.27205882352941174,0.3006993006993007,0.4927536231884058,0.16666666666666666,0.26455026455026454,0.37037037037037035,0.3333333333333333,0.2465753424657534,0.4489795918367347,0.4935064935064935,0.23076923076923078,0.33088235294117646,0.5647058823529412,0.35294117647058826,0.33513513513513515,0.5,0.11904761904761904,0.07142857142857142,0.0975609756097561,0.3790849673202614,0.36666666666666664,0.26639757820383453
16,0.33557046979865773,0.4470046082949309,0.4025974025974026,0.11578947368421053,0.15730337078651685,0.34965034965034963,0.25806451612903225,0.32167832167832167,0.4444444444444444,0.1941747572815534,0.2570694087403599,0.36,0.3333333333333333,0.23529411764705882,0.4583333333333333,0.4956521739130435,0.27586206896551724,0.3142857142857143,0.5454545454545454,0.375,0.36649214659685864,0.43478260869565216,0.09411764705882353,0.07692307692307693,0.0975609756097561,0.38095238095238093,0.3652173913043478,0.2754491017964072
20,0.31724137931034485,0.4375,0.36257309941520466,0.12371134020618557,0.16730038022813687,0.32,0.24285714285714285,0.28888888888888886,0.44776119402985076,0.15463917525773196,0.25936599423631124,0.35294117647058826,0.3333333333333333,0.22857142857142856,0.4375,0.4956521739130435,0.3,0.30927835051546393,0.5185185185185185,0.375,0.3769633507853403,0.45454545454545453,0.13636363636363635,0.08,0.0975609756097561,0.37735849056603776,0.3047619047619048,0.2898832684824903
