,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise,neutral
4,0.6617647058823529,0.3186119873817035,0.23552123552123552,0.18571428571428572,0.27058823529411763,0.3055555555555556,0.15609756097560976,0.25874125874125875,0.35,0.1885245901639344,0.20883534136546184,0.37254901960784315,0.5,0.3333333333333333,0.3548387096774194,0.9142857142857143,0.2,0.20346320346320346,0.71875,0.6,0.4507042253521127,0.4166666666666667,0.2,0.0625,0.8,0.3,0.35714285714285715,0.688622754491018
8,0.6901408450704225,0.3164983164983165,0.2540983606557377,0.17142857142857143,0.2619047619047619,0.2894736842105263,0.16143497757847533,0.2465753424657534,0.5,0.1694915254237288,0.2062780269058296,0.35714285714285715,0.4,0.2727272727272727,0.3728813559322034,0.890625,0.2857142857142857,0.20833333333333334,0.6666666666666666,0.6,0.41379310344827586,0.4166666666666667,0.1875,0.058823529411764705,0.5,0.3411764705882353,0.36363636363636365,0.6482412060301508
12,0.75,0.3401360544217687,0.28773584905660377,0.25,0.26595744680851063,0.2891566265060241,0.18137254901960784,0.25146198830409355,0.4857142857142857,0.136,0.20920502092050208,0.3508771929824561,0.4444444444444444,0.28125,0.4,0.8769230769230769,0.17647058823529413,0.25139664804469275,0.7741935483870968,0.5,0.3875,0.42857142857142855,0.25,0.047619047619047616,0.6666666666666666,0.3333333333333333,0.3728813559322034,0.6502463054187192
16,0.7142857142857143,0.33916083916083917,0.28440366972477066,0.22,0.22340425531914893,0.32051282051282054,0.17061611374407584,0.26900584795321636,0.4827586206896552,0.15748031496062992,0.2,0.3673469387755102,0.4444444444444444,0.2962962962962963,0.41509433962264153,0.890625,0.2,0.23529411764705882,0.7894736842105263,0.6,0.4069767441860465,0.38461538461538464,0.19047619047619047,0.05263157894736842,0.6666666666666666,0.345679012345679,0.3888888888888889,0.6448598130841121
20,0.7419354838709677,0.32666666666666666,0.24603174603174602,0.2222222222222222,0.24444444444444444,0.2823529411764706,0.16037735849056603,0.25161290322580643,0.45454545454545453,0.13043478260869565,0.21634615384615385,0.35294117647058826,0.4444444444444444,0.27586206896551724,0.39622641509433965,0.890625,0.2727272727272727,0.22727272727272727,0.7777777777777778,0.6,0.4186046511627907,0.4166666666666667,0.25,0.05555555555555555,0.6666666666666666,0.3225806451612903,0.36363636363636365,0.6208333333333333
