,anger,disgust,fear,joy,sadness,surprise,neutral
4,0.4733984799131379,0.37254901960784315,0.48333333333333334,0.705078125,0.4601366742596811,0.430416068866571,0.24083769633507854
8,0.4681818181818182,0.37383177570093457,0.47863247863247865,0.7041015625,0.4513064133016627,0.435506241331484,0.2613981762917933
12,0.47607934655775963,0.37037037037037035,0.49122807017543857,0.71338199513382,0.42494226327944573,0.45161290322580644,0.26639757820383453
16,0.4715447154471545,0.36,0.5045045045045045,0.7099311701081613,0.4398148148148148,0.4625668449197861,0.2754491017964072
20,0.4719626168224299,0.35294117647058826,0.4864864864864865,0.70703125,0.4160756501182033,0.437414030261348,0.2898832684824903
