,anger,disgust,fear,joy,sadness,surprise,neutral
4,0.3771626297577855,0.37254901960784315,0.43283582089552236,0.7127344521224087,0.4089068825910931,0.3712871287128713,0.688622754491018
8,0.38361266294227186,0.35714285714285715,0.4375,0.7117472852912142,0.4148471615720524,0.36682242990654207,0.6482412060301508
12,0.3968871595330739,0.3508771929824561,0.45901639344262296,0.7186274509803922,0.3817427385892116,0.37250554323725055,0.6502463054187192
16,0.3918918918918919,0.3673469387755102,0.4827586206896552,0.7227227227227228,0.3958333333333333,0.3802197802197802,0.6448598130841121
20,0.3937621832358674,0.35294117647058826,0.46551724137931033,0.7147087857847977,0.38095238095238093,0.3663594470046083,0.6208333333333333
