,anger,disgust,fear,joy,sadness,surprise,neutral
4,0.6355685131195336,0.37254901960784315,0.5471698113207547,0.6975845410628019,0.5260416666666666,0.5119453924914675,0.14593908629441624
8,0.6005830903790087,0.39215686274509803,0.5283018867924528,0.6966183574879227,0.4947916666666667,0.5358361774744027,0.16370558375634517
12,0.5947521865889213,0.39215686274509803,0.5283018867924528,0.7082125603864734,0.4791666666666667,0.5733788395904437,0.16751269035532995
16,0.5918367346938775,0.35294117647058826,0.5283018867924528,0.6975845410628019,0.4947916666666667,0.590443686006826,0.1751269035532995
20,0.5889212827988338,0.35294117647058826,0.5094339622641509,0.6995169082125604,0.4583333333333333,0.5426621160409556,0.18908629441624367
