,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise,neutral
4,0.19736842105263158,0.6824324324324325,0.6777777777777778,0.09285714285714286,0.1329479768786127,0.3384615384615385,0.47058823529411764,0.3217391304347826,0.20588235294117646,0.2911392405063291,0.37410071942446044,0.37254901960784315,0.3333333333333333,0.24390243902439024,0.5116279069767442,0.3855421686746988,0.4444444444444444,0.5053763440860215,0.21296296296296297,0.2727272727272727,0.3047619047619048,0.5,0.046875,0.14285714285714285,0.10526315789473684,0.4090909090909091,0.2459016393442623,0.14593908629441624
8,0.2149122807017544,0.6351351351351351,0.6888888888888889,0.08571428571428572,0.12716763005780346,0.3384615384615385,0.5294117647058824,0.3130434782608696,0.47058823529411764,0.25316455696202533,0.33093525179856115,0.39215686274509803,0.26666666666666666,0.21951219512195122,0.5116279069767442,0.3433734939759036,0.4444444444444444,0.4838709677419355,0.18518518518518517,0.2727272727272727,0.34285714285714286,0.5,0.046875,0.14285714285714285,0.02631578947368421,0.4393939393939394,0.26229508196721313,0.16370558375634517
12,0.25,0.6756756756756757,0.6777777777777778,0.11428571428571428,0.14450867052023122,0.36923076923076925,0.5441176470588235,0.3739130434782609,0.5,0.21518987341772153,0.3597122302158273,0.39215686274509803,0.26666666666666666,0.21951219512195122,0.5116279069767442,0.3433734939759036,0.3333333333333333,0.4838709677419355,0.4444444444444444,0.2727272727272727,0.29523809523809524,0.6,0.078125,0.14285714285714285,0.05263157894736842,0.4393939393939394,0.36065573770491804,0.16751269035532995
16,0.21929824561403508,0.6554054054054054,0.6888888888888889,0.07857142857142857,0.12138728323699421,0.38461538461538464,0.5294117647058824,0.4,0.4117647058823529,0.25316455696202533,0.3597122302158273,0.35294117647058826,0.26666666666666666,0.1951219512195122,0.5116279069767442,0.3433734939759036,0.4444444444444444,0.4731182795698925,0.4166666666666667,0.2727272727272727,0.3333333333333333,0.5,0.0625,0.14285714285714285,0.05263157894736842,0.42424242424242425,0.3442622950819672,0.1751269035532995
20,0.20175438596491227,0.6621621621621622,0.6888888888888889,0.08571428571428572,0.12716763005780346,0.36923076923076925,0.5,0.3391304347826087,0.4411764705882353,0.189873417721519,0.3237410071942446,0.35294117647058826,0.26666666666666666,0.1951219512195122,0.4883720930232558,0.3433734939759036,0.3333333333333333,0.4838709677419355,0.3888888888888889,0.2727272727272727,0.34285714285714286,0.5,0.09375,0.14285714285714285,0.05263157894736842,0.45454545454545453,0.26229508196721313,0.18908629441624367
