,anger,disgust,fear,joy,sadness,surprise,neutral
4,0.6064139941690962,0.35294117647058826,0.5471698113207547,0.7014492753623188,0.5520833333333334,0.6075085324232082,0.12944162436548223
8,0.597667638483965,0.3333333333333333,0.5471698113207547,0.6995169082125604,0.53125,0.590443686006826,0.1281725888324873
12,0.5451895043731778,0.4117647058823529,0.5471698113207547,0.6946859903381642,0.4895833333333333,0.5802047781569966,0.1446700507614213
16,0.5685131195335277,0.35294117647058826,0.5471698113207547,0.6821256038647343,0.5260416666666666,0.5767918088737202,0.13959390862944163
20,0.5860058309037901,0.35294117647058826,0.5283018867924528,0.7043478260869566,0.5260416666666666,0.5733788395904437,0.14720812182741116
