,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise,neutral
4,0.3411371237458194,0.4608294930875576,0.3652694610778443,0.13274336283185842,0.183206106870229,0.31724137931034485,0.21686746987951808,0.25705329153605017,0.2807017543859649,0.18461538461538463,0.25280898876404495,0.37894736842105264,0.3076923076923077,0.21739130434782608,0.38596491228070173,0.5537190082644629,0.36363636363636365,0.3371647509578544,0.5680473372781065,0.3333333333333333,0.37,0.46153846153846156,0.07894736842105263,0.06451612903225806,0.22727272727272727,0.40236686390532544,0.3148148148148148,0.21818181818181817
8,0.3401360544217687,0.40707964601769914,0.37888198757763975,0.15668202764976957,0.17898832684824903,0.3597122302158273,0.2334384858044164,0.2588996763754045,0.2857142857142857,0.1919191919191919,0.26330532212885155,0.35789473684210527,0.3076923076923077,0.2619047619047619,0.4,0.5772357723577236,0.3,0.3448275862068966,0.5421686746987951,0.3333333333333333,0.3465346534653465,0.46153846153846156,0.16091954022988506,0.06060606060606061,0.26666666666666666,0.3764705882352941,0.3300970873786408,0.21743810548977396
12,0.32081911262798635,0.43243243243243246,0.38461538461538464,0.12307692307692308,0.1700404858299595,0.3546099290780142,0.23384615384615384,0.273972602739726,0.22641509433962265,0.1711229946524064,0.2182890855457227,0.328125,0.34782608695652173,0.19444444444444445,0.411214953271028,0.5863453815261044,0.4,0.32727272727272727,0.5454545454545454,0.3333333333333333,0.38461538461538464,0.47619047619047616,0.16161616161616163,0.07692307692307693,0.22727272727272727,0.4146341463414634,0.3125,0.2387434554973822
16,0.29577464788732394,0.425629290617849,0.37942122186495175,0.12060301507537688,0.18253968253968253,0.36363636363636365,0.2483221476510067,0.2983050847457627,0.3548387096774194,0.17475728155339806,0.25862068965517243,0.3103448275862069,0.2857142857142857,0.21621621621621623,0.41904761904761906,0.625,0.36363636363636365,0.32234432234432236,0.5,0.35294117647058826,0.35978835978835977,0.4,0.12371134020618557,0.08,0.2222222222222222,0.4049079754601227,0.27450980392156865,0.23036649214659685
20,0.36363636363636365,0.4357298474945534,0.38688524590163936,0.14634146341463414,0.17054263565891473,0.3357664233576642,0.2534246575342466,0.2857142857142857,0.31746031746031744,0.18867924528301888,0.25,0.29508196721311475,0.3333333333333333,0.23684210526315788,0.4,0.5785123966942148,0.4444444444444444,0.31343283582089554,0.45161290322580644,0.35294117647058826,0.3487179487179487,0.5714285714285714,0.20408163265306123,0.0625,0.2916666666666667,0.3741935483870968,0.3106796116504854,0.24293193717277486
