,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise,neutral
4,0.7183098591549296,0.34965034965034963,0.25,0.1744186046511628,0.2696629213483146,0.2875,0.13636363636363635,0.20098039215686275,0.34782608695652173,0.15517241379310345,0.2073732718894009,0.4090909090909091,0.36363636363636365,0.19607843137254902,0.30985915492957744,0.881578947368421,0.3076923076923077,0.2619047619047619,0.7868852459016393,0.42857142857142855,0.3894736842105263,0.375,0.25,0.041666666666666664,0.8333333333333334,0.3300970873786408,0.3617021276595745,0.6938775510204082
8,0.7575757575757576,0.3026315789473684,0.2629310344827586,0.22077922077922077,0.27380952380952384,0.33783783783783783,0.14859437751004015,0.20618556701030927,0.36363636363636365,0.15966386554621848,0.21559633027522937,0.38636363636363635,0.36363636363636365,0.2558139534883721,0.3283582089552239,0.8875,0.2727272727272727,0.26785714285714285,0.7758620689655172,0.42857142857142855,0.36082474226804123,0.375,0.30434782608695654,0.038461538461538464,0.8571428571428571,0.3076923076923077,0.40476190476190477,0.7163120567375887
12,0.7230769230769231,0.32432432432432434,0.2702702702702703,0.21818181818181817,0.28378378378378377,0.32894736842105265,0.14785992217898833,0.22598870056497175,0.3157894736842105,0.14814814814814814,0.185,0.2727272727272727,0.5,0.22580645161290322,0.34375,0.8795180722891566,0.36363636363636365,0.24725274725274726,0.7894736842105263,0.42857142857142855,0.3883495145631068,0.45454545454545453,0.22857142857142856,0.05263157894736842,0.8333333333333334,0.3469387755102041,0.42857142857142855,0.6826347305389222
16,0.75,0.3217993079584775,0.2669683257918552,0.2033898305084746,0.2911392405063291,0.3582089552238806,0.1608695652173913,0.24444444444444444,0.39285714285714285,0.14173228346456693,0.215311004784689,0.27692307692307694,0.3076923076923077,0.24242424242424243,0.3548387096774194,0.8888888888888888,0.3076923076923077,0.24444444444444444,0.7692307692307693,0.5,0.40476190476190477,0.3333333333333333,0.18181818181818182,0.05555555555555555,0.7142857142857143,0.3402061855670103,0.34146341463414637,0.6586826347305389
20,0.782608695652174,0.3215434083601286,0.2744186046511628,0.23076923076923078,0.25882352941176473,0.3194444444444444,0.16517857142857142,0.24242424242424243,0.3448275862068966,0.15037593984962405,0.20657276995305165,0.2535211267605634,0.4444444444444444,0.2571428571428571,0.3387096774193548,0.9210526315789473,0.3333333333333333,0.24,0.7446808510638298,0.5,0.37777777777777777,0.5454545454545454,0.29411764705882354,0.04,0.7,0.3258426966292135,0.38095238095238093,0.6946107784431138
