,anger,disgust,fear,joy,sadness,surprise,neutral
4,0.46741573033707867,0.37894736842105264,0.44274809160305345,0.7156234598324298,0.48072562358276644,0.4357405140758874,0.21818181818181817
8,0.4718066743383199,0.35789473684210527,0.4566929133858268,0.70703125,0.4594594594594595,0.4330413016270338,0.21743810548977396
12,0.4560975609756098,0.328125,0.46774193548387094,0.7059401080019637,0.4444444444444444,0.42659974905897113,0.2387434554973822
16,0.46875,0.3103448275862069,0.4793388429752066,0.7003968253968254,0.44988864142538976,0.435006435006435,0.23036649214659685
20,0.48086124401913877,0.29508196721311475,0.4628099173553719,0.7108727450024378,0.44789356984478934,0.44503311258278144,0.24293193717277486
