,anger,disgust,fear,joy,sadness,surprise,neutral
4,0.3802559414990859,0.4090909090909091,0.3717948717948718,0.7303822937625755,0.42570281124497994,0.33969465648854963,0.6938775510204082
8,0.3897338403041825,0.38636363636363635,0.3918918918918919,0.7147087857847977,0.40476190476190477,0.34189723320158105,0.7163120567375887
12,0.3920335429769392,0.2727272727272727,0.4084507042253521,0.717564870259481,0.4069264069264069,0.3373015873015873,0.6826347305389222
16,0.3987730061349693,0.27692307692307694,0.4264705882352941,0.7196738022426096,0.39299610894941633,0.34917355371900827,0.6586826347305389
20,0.4077079107505071,0.2535211267605634,0.4117647058823529,0.71751968503937,0.38996138996138996,0.36363636363636365,0.6946107784431138
