,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise,neutral
4,0.2236842105263158,0.6756756756756757,0.6777777777777778,0.10714285714285714,0.13872832369942195,0.35384615384615387,0.5294117647058824,0.3565217391304348,0.23529411764705882,0.22784810126582278,0.3237410071942446,0.35294117647058826,0.26666666666666666,0.24390243902439024,0.5116279069767442,0.4036144578313253,0.4444444444444444,0.4731182795698925,0.4444444444444444,0.2727272727272727,0.3523809523809524,0.6,0.046875,0.14285714285714285,0.13157894736842105,0.5151515151515151,0.2786885245901639,0.12944162436548223
8,0.21929824561403508,0.6216216216216216,0.6777777777777778,0.12142857142857143,0.1329479768786127,0.38461538461538464,0.5441176470588235,0.34782608695652173,0.23529411764705882,0.24050632911392406,0.3381294964028777,0.3333333333333333,0.26666666666666666,0.2682926829268293,0.5116279069767442,0.42771084337349397,0.3333333333333333,0.4838709677419355,0.4166666666666667,0.2727272727272727,0.3333333333333333,0.6,0.109375,0.14285714285714285,0.15789473684210525,0.48484848484848486,0.2786885245901639,0.1281725888324873
12,0.20614035087719298,0.6486486486486487,0.6666666666666666,0.08571428571428572,0.12138728323699421,0.38461538461538464,0.5588235294117647,0.34782608695652173,0.17647058823529413,0.20253164556962025,0.26618705035971224,0.4117647058823529,0.26666666666666666,0.17073170731707318,0.5116279069767442,0.4397590361445783,0.4444444444444444,0.4838709677419355,0.4166666666666667,0.2727272727272727,0.38095238095238093,0.5,0.125,0.14285714285714285,0.13157894736842105,0.5151515151515151,0.2459016393442623,0.1446700507614213
16,0.18421052631578946,0.6283783783783784,0.6555555555555556,0.08571428571428572,0.1329479768786127,0.36923076923076925,0.5441176470588235,0.3826086956521739,0.3235294117647059,0.22784810126582278,0.3237410071942446,0.35294117647058826,0.26666666666666666,0.1951219512195122,0.5116279069767442,0.4819277108433735,0.4444444444444444,0.4731182795698925,0.37037037037037035,0.2727272727272727,0.3238095238095238,0.5,0.09375,0.14285714285714285,0.13157894736842105,0.5,0.22950819672131148,0.13959390862944163
20,0.23684210526315788,0.6756756756756757,0.6555555555555556,0.10714285714285714,0.12716763005780346,0.35384615384615387,0.5441176470588235,0.34782608695652173,0.29411764705882354,0.25316455696202533,0.31654676258992803,0.35294117647058826,0.26666666666666666,0.21951219512195122,0.4883720930232558,0.42168674698795183,0.6666666666666666,0.45161290322580644,0.32407407407407407,0.2727272727272727,0.3238095238095238,0.6,0.15625,0.14285714285714285,0.18421052631578946,0.4393939393939394,0.26229508196721313,0.14720812182741116
